date,lg_chem_open,lg_chem_close,lg_chem_high,lg_chem_low,lg_innotek_open,lg_innotek_close,lg_innotek_high,lg_innotek_low,ko_cases,ko_deaths,se_cases,se_deaths
2020-04-18,,,,,,,,,18.0,2.0,1.0,0.0
2020-04-19,,,,,,,,,8.0,2.0,2.0,0.0
2020-04-20,362500,351500,369500,351000,129500,130000,132000,128500,13.0,2.0,0.0,0.0
2020-04-21,348000,354000,359500,343500,130000,128000,131000,125500,9.0,1.0,2.0,0.0
2020-04-22,346500,355000,357000,345500,126500,129500,129500,123500,11.0,1.0,2.0,0.0
2020-04-23,360000,361000,361500,356500,130000,128500,131500,128500,8.0,2.0,0.0,0.0
2020-04-24,358000,353500,358500,350000,128500,126000,130500,126000,6.0,0.0,0.0,0.0
2020-04-25,,,,,,,,,10.0,0.0,1.0,0.0
2020-04-26,,,,,,,,,10.0,2.0,0.0,0.0
2020-04-27,353500,353500,357000,348000,127500,136000,137500,127000,10.0,1.0,0.0,0.0
2020-04-28,365000,362500,371500,354000,136500,136500,138500,134500,14.0,1.0,4.0,0.0
2020-04-29,368000,376500,376500,365000,136500,132000,136500,131500,9.0,2.0,0.0,0.0
2020-04-30,,,,,,,,,4.0,1.0,0.0,0.0
2020-05-01,,,,,,,,,9.0,1.0,1.0,0.0
2020-05-02,,,,,,,,,6.0,2.0,1.0,0.0
2020-05-03,,,,,,,,,13.0,0.0,2.0,0.0
2020-05-04,361000,360000,366000,358000,128000,131500,133000,127000,8.0,2.0,0.0,0.0
2020-05-05,,,,,,,,,3.0,2.0,0.0,0.0
2020-05-06,366500,361000,366500,356500,133000,131500,133000,129500,2.0,1.0,0.0,0.0
2020-05-07,358000,354000,361000,352500,130500,132500,133500,130000,4.0,1.0,0.0,0.0
2020-05-08,349000,352500,356500,346500,134500,137500,140500,133500,12.0,0.0,0.0,0.0
2020-05-09,,,,,,,,,18.0,0.0,12.0,0.0
2020-05-10,,,,,,,,,34.0,0.0,14.0,0.0
2020-05-11,351500,346500,354000,345000,139000,136000,139500,136000,35.0,0.0,20.0,0.0
2020-05-12,346000,338000,346000,336500,136500,142000,144000,136000,27.0,2.0,12.0,0.0
2020-05-13,330000,352000,352500,330000,139500,146000,146000,139000,26.0,1.0,12.0,1.0
2020-05-14,348000,344500,351000,341000,145000,143000,149000,143000,29.0,1.0,4.0,1.0
2020-05-15,348500,346500,349500,343000,145500,146000,147500,142000,27.0,0.0,14.0,0.0
2020-05-16,,,,,,,,,19.0,2.0,5.0,0.0
2020-05-17,,,,,,,,,13.0,0.0,5.0,0.0
2020-05-18,349500,354000,356000,346000,145000,138500,145000,136500,15.0,1.0,1.0,0.0
2020-05-19,363500,357000,364000,356500,142000,139500,142500,138000,13.0,0.0,6.0,0.0
2020-05-20,352500,362500,362500,351500,139500,142000,143500,139000,32.0,0.0,10.0,0.0
2020-05-21,367000,377500,385000,365000,143500,141000,143500,139000,12.0,1.0,4.0,0.0
2020-05-22,382000,377000,385000,373500,141000,137500,141000,136500,20.0,0.0,2.0,0.0
2020-05-23,,,,,,,,,23.0,2.0,4.0,0.0
2020-05-24,,,,,,,,,25.0,0.0,6.0,0.0
2020-05-25,380000,389500,389500,375000,138500,137500,139000,134500,16.0,1.0,6.0,0.0
2020-05-26,398500,414000,416000,398000,138000,142000,142000,138000,19.0,2.0,9.0,0.0
2020-05-27,406000,395500,412000,394500,141500,140500,143000,139500,40.0,0.0,19.0,0.0
2020-05-28,403000,388500,404000,380000,141000,144000,148500,140500,79.0,0.0,24.0,0.0
2020-05-29,381500,390500,391000,381500,145000,147500,148000,143000,58.0,0.0,20.0,0.0
2020-05-30,,,,,,,,,39.0,0.0,9.0,0.0
2020-05-31,,,,,,,,,27.0,1.0,6.0,0.0
2020-06-01,391000,396000,401000,389500,147500,153000,154000,146000,35.0,1.0,1.0,0.0
2020-06-02,400000,395000,402000,393000,152000,154000,158000,150500,38.0,1.0,14.0,0.0
2020-06-03,399000,400500,401500,395000,157000,152000,157000,152000,49.0,1.0,19.0,0.0
2020-06-04,400500,417500,420000,399500,153500,153000,156000,151000,39.0,0.0,14.0,0.0
2020-06-05,421500,434000,434000,421000,153000,153500,155500,151000,39.0,0.0,15.0,0.0
2020-06-06,,,,,,,,,51.0,0.0,23.0,0.0
2020-06-07,,,,,,,,,57.0,0.0,27.0,0.0
2020-06-08,440000,434000,446000,432000,156000,159500,160000,154000,38.0,0.0,22.0,0.0
2020-06-09,439000,432500,441500,425500,160500,157500,161500,155500,38.0,1.0,19.0,0.0
2020-06-10,432500,440000,442000,429500,159500,164500,166000,159000,50.0,2.0,12.0,0.0
2020-06-11,447000,463000,469500,446000,165500,167000,172000,164000,45.0,0.0,21.0,0.0
2020-06-12,436500,462000,466000,436000,159500,173000,173000,158500,56.0,1.0,25.0,0.0
2020-06-13,,,,,,,,,48.0,0.0,28.0,0.0
2020-06-14,,,,,,,,,33.0,0.0,12.0,0.0
2020-06-15,455000,428000,460500,428000,171000,160000,172500,159000,37.0,0.0,7.0,0.0
2020-06-16,445000,487500,487500,444000,166000,169500,169500,163000,34.0,1.0,12.0,0.0
2020-06-17,484000,491500,512000,481500,172500,169500,174500,164000,43.0,1.0,13.0,1.0
2020-06-18,491500,491000,494500,481500,167500,167000,169500,165500,59.0,1.0,25.0,1.0
2020-06-19,499500,512000,512000,488000,169000,166500,169000,162000,49.0,0.0,18.0,0.0
2020-06-20,,,,,,,,,67.0,0.0,14.0,0.0
2020-06-21,,,,,,,,,48.0,0.0,17.0,0.0
2020-06-22,510000,506000,519000,502000,163500,161000,165500,161000,17.0,0.0,5.0,0.0
2020-06-23,512000,504000,518000,500000,164500,164000,170000,162500,46.0,1.0,6.0,0.0
2020-06-24,514000,516000,520000,510000,166000,168000,169500,163000,51.0,0.0,11.0,0.0
2020-06-25,506000,499000,513000,499000,165000,162500,166500,162000,28.0,1.0,9.0,1.0
2020-06-26,508000,501000,509000,488500,165500,171500,171500,162500,39.0,0.0,17.0,0.0
2020-06-27,,,,,,,,,51.0,0.0,17.0,0.0
2020-06-28,,,,,,,,,62.0,0.0,14.0,0.0
2020-06-29,492000,489500,501000,486000,168500,171500,173000,166500,42.0,0.0,7.0,0.0
2020-06-30,501000,490500,502000,487500,174500,174500,179000,173500,42.0,0.0,7.0,0.0
