,date,total_cases,total_deaths,ca_cases,ca_deaths,ticker,open,close,volume,neg,neu,pos,compound,kor_cases,kor_deaths,seoul_cases,seoul_deaths,kor_close,kor_open,kor_volume,kor_ticker,label
1881,2020-07-25,4190188,146311,453659,8416,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14092,298,1558,11,0,0,0,0,0.0
1882,2020-07-26,4244405,146751,460550,8445,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14150,298,1565,11,0,0,0,0,0.0
1883,2020-07-26,4244405,146751,460550,8445,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14150,298,1565,11,0,0,0,0,0.0
1884,2020-07-27,4303586,148447,466550,8518,AAPL,93.70999908447266,94.80999755859376,121214000.0,0.0,0.0,0.0,0.0,14175,299,1574,11,517000,509000,257568,051910,0.0
1885,2020-07-27,4303586,148447,466550,8518,AAPL,93.70999908447266,94.80999755859376,121214000.0,0.0,0.0,0.0,0.0,14175,299,1574,11,157000,156000,182513,011070,0.0
1886,2020-07-28,4366696,149774,475305,8715,AAPL,94.36750030517578,93.25250244140624,103625600.0,0.0,0.0,0.0,0.0,14203,300,1580,11,528000,526000,372041,051910,0.0
1887,2020-07-28,4366696,149774,475305,8715,AAPL,94.36750030517578,93.25250244140624,103625600.0,0.0,0.0,0.0,0.0,14203,300,1580,11,163000,159500,292320,011070,0.0
1888,2020-07-29,4433311,151169,485502,8909,AAPL,93.75,95.04000091552734,90329200.0,0.0,0.0,0.0,0.0,14251,300,1589,11,527000,527000,315710,051910,0.0
1889,2020-07-29,4433311,151169,485502,8909,AAPL,93.75,95.04000091552734,90329200.0,0.0,0.0,0.0,0.0,14251,300,1589,11,162000,162500,149108,011070,0.0
1890,2020-07-30,4502422,152430,493588,9005,AAPL,94.1875,96.19000244140624,158130000.0,0.0,0.0,0.0,0.0,14269,300,1592,11,530000,530000,244581,051910,0.0
1891,2020-07-30,4502422,152430,493588,9005,AAPL,94.1875,96.19000244140624,158130000.0,0.0,0.0,0.0,0.0,14269,300,1592,11,162000,164000,114044,011070,0.0
1892,2020-07-31,4571510,153859,500130,9224,AAPL,102.88500213623048,106.26000213623048,374336800.0,0.0,0.0,0.0,0.0,14305,301,1600,11,568000,541000,1376453,051910,0.0
1893,2020-07-31,4571510,153859,500130,9224,AAPL,102.88500213623048,106.26000213623048,374336800.0,0.0,0.0,0.0,0.0,14305,301,1600,11,161000,165500,165939,011070,0.0
1894,2020-08-01,4628329,154914,509162,9356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14336,301,1602,11,0,0,0,0,0.0
1895,2020-08-01,4628329,154914,509162,9356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14336,301,1602,11,0,0,0,0,0.0
1896,2020-08-02,4679122,155334,514901,9388,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14366,301,1607,11,0,0,0,0,0.0
1897,2020-08-02,4679122,155334,514901,9388,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14366,301,1607,11,0,0,0,0,0.0
1898,2020-08-03,4726604,155942,519427,9501,AAPL,108.1999969482422,108.9375,308151200.0,0.0,0.0,0.0,0.0,14389,301,1612,11,635000,578000,1715295,051910,0.0
1899,2020-08-03,4726604,155942,519427,9501,AAPL,108.1999969482422,108.9375,308151200.0,0.0,0.0,0.0,0.0,14389,301,1612,11,165000,161000,210011,011070,0.0
1900,2020-08-04,4780151,157298,524722,9703,AAPL,109.13249969482422,109.66500091552734,173071600.0,0.0,0.0,0.0,0.0,14423,301,1621,11,642000,652000,894736,051910,0.0
1901,2020-08-04,4780151,157298,524722,9703,AAPL,109.13249969482422,109.66500091552734,173071600.0,0.0,0.0,0.0,0.0,14423,301,1621,11,167000,167000,192571,011070,0.0
1902,2020-08-05,4833868,158550,529980,9869,AAPL,109.37750244140624,110.0625,121992000.0,0.0,0.0,0.0,0.0,14456,302,1627,12,670000,640000,917661,051910,0.0
1903,2020-08-05,4833868,158550,529980,9869,AAPL,109.37750244140624,110.0625,121992000.0,0.0,0.0,0.0,0.0,14456,302,1627,12,163000,167500,253805,011070,0.0
1904,2020-08-06,4891561,159625,538416,10011,AAPL,110.40499877929688,113.90249633789062,202428800.0,0.0,0.0,0.0,0.0,14499,302,1636,12,680000,672000,634951,051910,0.0
1905,2020-08-06,4891561,159625,538416,10011,AAPL,110.40499877929688,113.90249633789062,202428800.0,0.0,0.0,0.0,0.0,14499,302,1636,12,163000,163500,182359,011070,0.0
1906,2020-08-07,4952718,160981,545787,10189,AAPL,113.20500183105469,111.1125030517578,198045600.0,0.0,0.0,0.0,0.0,14519,303,1645,13,746000,680000,1399982,051910,0.0
1907,2020-08-07,4952718,160981,545787,10189,AAPL,113.20500183105469,111.1125030517578,198045600.0,0.0,0.0,0.0,0.0,14519,303,1645,13,165000,164500,264314,011070,0.0
1908,2020-08-08,5007958,161947,554160,10293,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14562,304,1662,13,0,0,0,0,0.0
1909,2020-08-08,5007958,161947,554160,10293,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14562,304,1662,13,0,0,0,0,0.0
1910,2020-08-09,5056438,162486,561911,10359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14598,305,1675,13,0,0,0,0,0.0
1911,2020-08-09,5056438,162486,561911,10359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14598,305,1675,13,0,0,0,0,0.0
1912,2020-08-10,5103611,163023,574411,10468,AAPL,112.5999984741211,112.72750091552734,212403600.0,0.0,0.0,0.0,0.0,14626,305,1688,13,720000,747000,1035305,051910,0.0
1913,2020-08-10,5103611,163023,574411,10468,AAPL,112.5999984741211,112.72750091552734,212403600.0,0.0,0.0,0.0,0.0,14626,305,1688,13,160500,165000,321918,011070,0.0
1914,2020-08-11,5156968,164474,586056,10648,AAPL,111.97000122070312,109.375,187902400.0,0.0,0.0,0.0,0.0,14660,305,1694,13,758000,715000,1087515,051910,0.0
1915,2020-08-11,5156968,164474,586056,10648,AAPL,111.97000122070312,109.375,187902400.0,0.0,0.0,0.0,0.0,14660,305,1694,13,160000,161000,195262,011070,0.0
1916,2020-08-12,5211246,165952,593141,10808,AAPL,110.49749755859376,113.01000213623048,165944800.0,0.0,0.0,0.0,0.0,14714,305,1709,13,741000,746000,673527,051910,0.0
1917,2020-08-12,5211246,165952,593141,10808,AAPL,110.49749755859376,113.01000213623048,165944800.0,0.0,0.0,0.0,0.0,14714,305,1709,13,161500,159000,192240,011070,0.0
1918,2020-08-13,5265307,167165,601075,10996,AAPL,114.43000030517578,115.01000213623048,210082000.0,0.0,0.0,0.0,0.0,14770,305,1735,13,737000,758000,970866,051910,0.0
1919,2020-08-13,5265307,167165,601075,10996,AAPL,114.43000030517578,115.01000213623048,210082000.0,0.0,0.0,0.0,0.0,14770,305,1735,13,166000,163000,438222,011070,0.0
1920,2020-08-14,5324784,168341,613689,11147,AAPL,114.83000183105469,114.90750122070312,165565200.0,0.0,0.0,0.0,0.0,14873,305,1767,13,700000,716000,1160403,051910,0.0
1921,2020-08-14,5324784,168341,613689,11147,AAPL,114.83000183105469,114.90750122070312,165565200.0,0.0,0.0,0.0,0.0,14873,305,1767,13,163500,166500,169898,011070,0.0
1922,2020-08-15,5375527,169400,621562,11224,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15039,305,1841,13,0,0,0,0,0.0
1923,2020-08-15,5375527,169400,621562,11224,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15039,305,1841,13,0,0,0,0,0.0
1924,2020-08-16,5417664,169914,628031,11242,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15318,305,1987,13,0,0,0,0,0.0
1925,2020-08-16,5417664,169914,628031,11242,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15318,305,1987,13,0,0,0,0,0.0
1926,2020-08-17,5455187,170449,632667,11342,AAPL,116.0625,114.60749816894531,119561600.0,0.0,0.0,0.0,0.0,15515,305,2077,13,0,0,0,0,0.0
1927,2020-08-17,5455187,170449,632667,11342,AAPL,116.0625,114.60749816894531,119561600.0,0.0,0.0,0.0,0.0,15515,305,2077,13,0,0,0,0,0.0
1928,2020-08-18,5498420,171798,638831,11523,AAPL,114.35250091552734,115.5625,105633600.0,0.0,0.0,0.0,0.0,15761,306,2209,14,690000,689000,1051815,051910,0.0
1929,2020-08-18,5498420,171798,638831,11523,AAPL,114.35250091552734,115.5625,105633600.0,0.0,0.0,0.0,0.0,15761,306,2209,14,154500,162500,418830,011070,0.0
1930,2020-08-19,5541433,173093,644751,11686,AAPL,115.98249816894531,115.7074966430664,145538000.0,0.0,0.0,0.0,0.0,16058,306,2360,14,683000,708000,746732,051910,0.0
1931,2020-08-19,5541433,173093,644751,11686,AAPL,115.98249816894531,115.7074966430664,145538000.0,0.0,0.0,0.0,0.0,16058,306,2360,14,154500,154500,153435,011070,0.0
1932,2020-08-20,5587462,174136,650336,11821,AAPL,115.75,118.2750015258789,126907200.0,0.0,0.0,0.0,0.0,16346,307,2495,15,667000,681000,841507,051910,0.0
1933,2020-08-20,5587462,174136,650336,11821,AAPL,115.75,118.2750015258789,126907200.0,0.0,0.0,0.0,0.0,16346,307,2495,15,145000,153000,325065,011070,0.0
1934,2020-08-21,5636491,175297,656892,11988,AAPL,119.2624969482422,124.37000274658205,338054800.0,0.0,0.0,0.0,0.0,16670,309,2621,16,699000,676000,1078744,051910,0.0
1935,2020-08-21,5636491,175297,656892,11988,AAPL,119.2624969482422,124.37000274658205,338054800.0,0.0,0.0,0.0,0.0,16670,309,2621,16,146500,148000,171356,011070,0.0
1936,2020-08-22,5681517,176247,663669,12134,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17002,309,2749,16,0,0,0,0,0.0
1937,2020-08-22,5681517,176247,663669,12134,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17002,309,2749,16,0,0,0,0,0.0
1938,2020-08-23,5713850,176693,668615,12152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17399,309,2889,16,0,0,0,0,0.0
1939,2020-08-23,5713850,176693,668615,12152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17399,309,2889,16,0,0,0,0,0.0
1940,2020-08-24,5754254,177197,673095,12257,AAPL,128.69749450683594,125.85749816894531,345937600.0,0.0,0.0,0.0,0.0,17665,309,2986,16,702000,695000,574924,051910,0.0
1941,2020-08-24,5754254,177197,673095,12257,AAPL,128.69749450683594,125.85749816894531,345937600.0,0.0,0.0,0.0,0.0,17665,309,2986,16,155000,148000,228720,011070,0.0
1942,2020-08-25,5793437,178410,679099,12407,AAPL,124.69750213623048,124.8249969482422,211495600.0,0.0,0.0,0.0,0.0,17945,310,3120,16,713000,712000,450237,051910,0.0
1943,2020-08-25,5793437,178410,679099,12407,AAPL,124.69750213623048,124.8249969482422,211495600.0,0.0,0.0,0.0,0.0,17945,310,3120,16,152000,156500,267834,011070,0.0
1944,2020-08-26,5838756,179603,683529,12550,AAPL,126.18000030517578,126.52249908447266,163022400.0,0.0,0.0,0.0,0.0,18265,312,3232,17,757000,718000,1094918,051910,0.0
1945,2020-08-26,5838756,179603,683529,12550,AAPL,126.18000030517578,126.52249908447266,163022400.0,0.0,0.0,0.0,0.0,18265,312,3232,17,149500,151000,177660,011070,0.0
1946,2020-08-27,5884366,180729,688858,12690,AAPL,127.14250183105469,125.01000213623048,155552400.0,0.0,0.0,0.0,0.0,18706,313,3386,17,762000,774000,1060767,051910,0.0
1947,2020-08-27,5884366,180729,688858,12690,AAPL,127.14250183105469,125.01000213623048,155552400.0,0.0,0.0,0.0,0.0,18706,313,3386,17,146500,149500,114677,011070,0.0
1948,2020-08-28,5930930,181739,693839,12834,AAPL,126.0124969482422,124.80750274658205,187630000.0,0.0,0.0,0.0,0.0,19077,316,3532,19,759000,767000,496857,051910,0.0
1949,2020-08-28,5930930,181739,693839,12834,AAPL,126.0124969482422,124.80750274658205,187630000.0,0.0,0.0,0.0,0.0,19077,316,3532,19,147000,147000,101248,011070,0.0
1950,2020-08-29,5975540,182610,699909,12905,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19400,321,3657,20,0,0,0,0,0.0
1951,2020-08-29,5975540,182610,699909,12905,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19400,321,3657,20,0,0,0,0,0.0
1952,2020-08-30,6008970,182984,704085,12933,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19699,323,3773,22,0,0,0,0,0.0
1953,2020-08-30,6008970,182984,704085,12933,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19699,323,3773,22,0,0,0,0,0.0
1954,2020-08-31,6045455,183472,707797,13018,AAPL,127.58000183105469,129.03999328613278,225702700.0,0.0,0.0,0.0,0.0,19947,324,3867,23,740000,763000,835300,051910,0.0
1955,2020-08-31,6045455,183472,707797,13018,AAPL,127.58000183105469,129.03999328613278,225702700.0,0.0,0.0,0.0,0.0,19947,324,3867,23,145000,147500,128873,011070,0.0
1956,2020-09-01,6089504,184563,712052,13163,AAPL,132.75999450683594,134.17999267578122,152470100.0,0.0,0.0,0.0,0.0,20182,324,3961,23,743000,741000,645681,051910,0.0
1957,2020-09-01,6089504,184563,712052,13163,AAPL,132.75999450683594,134.17999267578122,152470100.0,0.0,0.0,0.0,0.0,20182,324,3961,23,153500,145500,322368,011070,0.0
1958,2020-09-02,6121948,185639,717177,13327,AAPL,137.58999633789062,131.39999389648438,200119000.0,0.0,0.0,0.0,0.0,20449,326,4062,24,742000,743000,462821,051910,0.0
1959,2020-09-02,6121948,185639,717177,13327,AAPL,137.58999633789062,131.39999389648438,200119000.0,0.0,0.0,0.0,0.0,20449,326,4062,24,169000,158500,818324,011070,0.0
1960,2020-09-03,6168342,186717,722283,13490,AAPL,126.91000366210938,120.87999725341795,257599600.0,0.0,0.0,0.0,0.0,20644,329,4131,24,768000,756000,690256,051910,0.0
1961,2020-09-03,6168342,186717,722283,13490,AAPL,126.91000366210938,120.87999725341795,257599600.0,0.0,0.0,0.0,0.0,20644,329,4131,24,163000,168500,269915,011070,0.0
1962,2020-09-04,6220446,187697,727239,13643,AAPL,120.06999969482422,120.95999908447266,332607200.0,0.0,0.0,0.0,0.0,20842,331,4201,24,743000,734000,773517,051910,0.0
1963,2020-09-04,6220446,187697,727239,13643,AAPL,120.06999969482422,120.95999908447266,332607200.0,0.0,0.0,0.0,0.0,20842,331,4201,24,158000,155500,270454,011070,0.0
1964,2020-09-05,6262700,188409,732144,13709,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21010,333,4251,25,0,0,0,0,0.0
1965,2020-09-05,6262700,188409,732144,13709,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21010,333,4251,25,0,0,0,0,0.0
1966,2020-09-06,6292699,188820,735235,13726,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21177,334,4314,26,0,0,0,0,0.0
1967,2020-09-06,6292699,188820,735235,13726,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21177,334,4314,26,0,0,0,0,0.0
1968,2020-09-07,6317865,189083,737911,13758,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21296,336,4362,28,720000,743000,635302,051910,0.0
1969,2020-09-07,6317865,189083,737911,13758,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21296,336,4362,28,158500,160000,116202,011070,0.0
1970,2020-09-08,6346806,189541,739527,13841,AAPL,113.9499969482422,112.81999969482422,231366600.0,0.0,0.0,0.0,0.0,21432,341,4429,32,709000,720000,811834,051910,0.0
1971,2020-09-08,6346806,189541,739527,13841,AAPL,113.9499969482422,112.81999969482422,231366600.0,0.0,0.0,0.0,0.0,21432,341,4429,32,162000,160000,194051,011070,0.0
1972,2020-09-09,6380138,190716,742865,13978,AAPL,117.26000213623048,117.31999969482422,176940500.0,0.0,0.0,0.0,0.0,21588,344,4478,32,699000,682000,575376,051910,0.0
1973,2020-09-09,6380138,190716,742865,13978,AAPL,117.26000213623048,117.31999969482422,176940500.0,0.0,0.0,0.0,0.0,21588,344,4478,32,166000,161000,333883,011070,0.0
1974,2020-09-10,6418198,191631,746191,14089,AAPL,120.36000061035156,113.48999786376952,182274400.0,0.0,0.0,0.0,0.0,21743,346,4526,32,713000,716000,541097,051910,0.0
1975,2020-09-10,6418198,191631,746191,14089,AAPL,120.36000061035156,113.48999786376952,182274400.0,0.0,0.0,0.0,0.0,21743,346,4526,32,169500,169000,481188,011070,0.0
1976,2020-09-11,6465766,192858,750298,14251,AAPL,114.56999969482422,112.0,180860300.0,0.0,0.0,0.0,0.0,21919,350,4589,34,705000,707000,361882,051910,0.0
1977,2020-09-11,6465766,192858,750298,14251,AAPL,114.56999969482422,112.0,180860300.0,0.0,0.0,0.0,0.0,21919,350,4589,34,169500,168500,173693,011070,0.0
1978,2020-09-12,6504870,193559,754923,14329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22055,355,4639,35,0,0,0,0,0.0
1979,2020-09-12,6504870,193559,754923,14329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22055,355,4639,35,0,0,0,0,0.0
1980,2020-09-13,6538213,193958,757778,14385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22176,358,4670,38,0,0,0,0,0.0
1981,2020-09-13,6538213,193958,757778,14385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22176,358,4670,38,0,0,0,0,0.0
