date,close,up/down,pastday,open,high,low,volume
2019-09-09,84300,1,2400,83100,84600,82500,2642174
2019-09-06,81900,0,1100,84000,84000,81500,2418057
2019-09-05,83000,1,3000,81400,83000,81200,4068631
2019-09-04,80000,1,3000,77400,80000,77300,2723541
2019-09-03,77000,0,600,77200,77600,76300,1611563
2019-09-02,77600,1,200,77000,78200,76500,1431352
2019-08-30,77400,1,4100,74600,78000,74600,3839246
2019-08-29,73300,2,0,73500,74100,72000,2050860
2019-08-28,73300,1,300,73500,73700,72500,1380522
2019-08-27,73000,1,1200,72500,73700,72500,2512610
2019-08-26,71800,0,2600,72600,73000,71500,2645491
2019-08-23,74400,1,600,73500,75200,73400,1695532
2019-08-22,73800,0,2000,75300,76000,73800,2309550
2019-08-21,75800,0,600,75900,76900,75500,1898789
2019-08-20,76400,1,1300,75500,76600,75100,1694275
2019-08-19,75100,0,1300,77300,77500,74800,1591728
2019-08-16,76400,0,500,75800,76400,75100,2015785
2019-08-14,76900,1,2400,77200,77900,76200,2561643
2019-08-13,74500,2,0,74000,75100,73700,1304708
2019-08-12,74500,1,1200,73700,75000,73500,1254926
2019-08-09,73300,1,1000,73200,74100,72300,2100380
2019-08-08,72300,0,1000,73600,74500,72000,2943206
2019-08-07,73300,1,1300,72000,74300,72000,2692841
2019-08-06,72000,0,3400,73100,73900,71900,5008247
2019-08-05,75400,0,700,75500,76000,74900,2889902
2019-08-02,76100,0,1600,75400,76800,74900,4845952
2019-08-01,77700,1,800,75300,78700,75300,3397831
2019-07-31,76900,0,2000,78000,79100,75300,3712241
2019-07-30,78900,1,1900,78200,80000,77700,2371300
2019-07-29,77000,0,2800,79000,79400,76500,2616782
2019-07-26,79800,1,600,78100,80300,78000,3095260
2019-07-25,79200,1,1600,79700,80400,77700,3963383
2019-07-24,77600,0,1200,78800,80200,77100,3562342
2019-07-23,78800,1,400,79700,80700,78200,4814941
2019-07-22,78400,1,1600,77800,79200,77000,3213786
2019-07-19,76800,1,2100,75900,77000,75600,2635348
2019-07-18,74700,1,100,74300,75200,73900,1902110
2019-07-17,74600,0,1500,74600,75200,74000,2805672
2019-07-16,76100,0,100,74800,76500,74800,2450278
2019-07-15,76200,1,1500,74500,76500,74400,2122090
2019-07-12,74700,0,800,75600,75800,74400,2638271
2019-07-11,75500,1,2600,74000,75500,74000,5111929
2019-07-10,72900,1,3100,71500,73400,71000,4346179
2019-07-09,69800,1,2400,68400,70500,67900,2912514
2019-07-08,67400,0,1000,66400,68000,66200,2202260
2019-07-05,68400,0,1800,70300,71000,68400,2043271
2019-07-04,70200,1,1100,69600,70700,69300,1503707
2019-07-03,69100,0,2300,71100,71700,69000,2790684
2019-07-02,71400,1,1400,69700,71700,69100,2495399
2019-07-01,70000,1,500,71000,71000,69700,3538183
2019-06-28,69500,0,700,70900,70900,68400,3117569
2019-06-27,70200,1,1300,70100,71600,69700,5361201
2019-06-26,68900,1,2200,68300,69600,67900,5024201
2019-06-25,66700,0,200,66700,67400,66300,1873766
2019-06-24,66900,1,1000,65900,67400,65600,2164462
2019-06-21,65900,0,1400,67100,67300,65900,2403002
2019-06-20,67300,1,100,67200,67400,66200,2773637
2019-06-19,67200,1,3800,65800,67300,65200,6230370
2019-06-18,63400,0,300,63800,64200,63300,1549497
2019-06-17,63700,1,600,62800,63800,62400,2435039
2019-06-14,63100,0,400,63200,64000,62600,3686472
2019-06-13,63500,0,2200,64900,65100,63300,5947811
2019-06-12,65700,0,1500,66800,67100,65700,2437640
2019-06-11,67200,1,400,66900,67800,66700,2429182
2019-06-10,66800,1,1400,66100,67000,65800,3091757
2019-06-07,65400,1,300,65200,66000,64600,2355869
2019-06-05,65100,2,0,66900,67600,64900,4832796
2019-06-04,65100,0,1500,66500,66700,65100,2892681
2019-06-03,66600,1,1300,65200,67200,64200,4020572
2019-05-31,65300,0,600,65900,66900,64700,3191350
2019-05-30,65900,0,200,66300,66900,65800,3023108
2019-05-29,66100,1,200,65600,66700,64900,6056903
2019-05-28,65900,0,1000,67200,68300,65900,12052399
2019-05-27,66900,0,700,67900,68200,66400,2214176
2019-05-24,67600,0,400,67300,68600,67000,3339145
2019-05-23,68000,0,900,68400,69100,67300,3108370
2019-05-22,68900,0,1400,71300,71300,68500,3128787
2019-05-21,70300,0,600,70500,72200,69700,3893536
2019-05-20,70900,0,700,71800,72800,70700,1970694
