date,close,up/down,pastday,open,high,low,volume
2019-07-10,131000,동일,0,132000,132000,129000,312943
2019-07-09,131000,상승,3000,128500,132000,128000,463640
2019-07-08,128000,하락,5500,133500,133500,128000,581000
2019-07-05,133500,상승,1000,133000,134000,131500,458417
2019-07-04,132500,상승,1500,131000,132500,129500,362634
2019-07-03,131000,하락,500,131500,132000,130000,300667
2019-07-02,131500,상승,2000,129500,131500,128000,264488
2019-07-01,129500,하락,2000,132500,133000,129000,433735
2019-06-28,131500,동일,0,131500,133000,130000,362354
2019-06-27,131500,상승,2000,131000,133500,130000,704159
2019-06-26,129500,하락,1000,131000,132500,129000,516097
2019-06-25,130500,상승,4500,129000,131000,127500,956899
2019-06-24,126000,하락,500,127000,128000,125500,306333
2019-06-21,126500,상승,4500,124500,128000,124000,808423
2019-06-20,122000,동일,0,122000,124000,120000,287954
2019-06-19,122000,상승,1000,122500,122500,121000,178919
2019-06-18,121000,하락,500,121500,123000,120000,344107
2019-06-17,121500,하락,3500,125000,125000,121000,349662
2019-06-14,125000,하락,1500,127000,128000,124500,357300
2019-06-13,126500,상승,2500,124000,127500,123500,747390
2019-06-12,124000,하락,500,124500,125000,122500,212619
2019-06-11,124500,상승,500,124000,125000,122500,244302
2019-06-10,124000,상승,4000,120000,125000,119000,506951
2019-06-07,120000,하락,500,120000,120500,117500,537162
2019-06-05,120500,상승,1000,121000,121500,119500,307665
2019-06-04,119500,하락,3000,122500,124000,116500,847685
2019-06-03,122500,하락,2000,123500,125500,122000,316035
2019-05-31,124500,동일,0,124000,126000,123000,325040
2019-05-30,124500,상승,3000,122000,125500,122000,460680
2019-05-29,121500,하락,1500,122500,123500,120500,323116
2019-05-28,123000,상승,1000,121000,125000,120500,565899
2019-05-27,122000,하락,2000,125000,126500,120500,550142
2019-05-24,124000,동일,0,123000,124000,120500,766145
2019-05-23,124000,하락,1500,125000,127000,123500,425136
2019-05-22,125500,상승,500,125500,126500,121500,840648
2019-05-21,125000,하락,1500,126500,127500,125000,694961
2019-05-20,126500,상승,2000,126500,128500,125500,899474
2019-05-17,124500,하락,9000,129000,129500,124000,5222004
2019-05-16,133500,상승,1500,132500,134000,130500,558891
2019-05-15,132000,하락,2000,135500,136000,130000,1241060
2019-05-14,134000,상승,5500,127000,135000,126500,1360661
2019-05-13,128500,하락,1500,130500,130500,127000,584824
2019-05-10,130000,상승,3500,128500,131000,127500,1006921
2019-05-09,126500,하락,2000,133500,133500,126500,1352763
2019-05-08,128500,상승,1000,126500,130000,125500,700167
2019-05-07,127500,하락,500,126000,130000,126000,664716
2019-05-03,128000,상승,5000,126000,129000,125500,1098989
2019-05-02,123000,상승,3000,120000,124500,119500,742545
2019-04-30,120000,상승,500,119000,121000,118500,494890
2019-04-29,119500,상승,4500,115500,119500,114000,512703
2019-04-26,115000,하락,1000,115500,117500,113000,366725
2019-04-25,116000,하락,2000,117500,118000,115000,292233
2019-04-24,118000,상승,1500,117500,118500,115500,443136
2019-04-23,116500,하락,1500,118500,119500,116000,259471
2019-04-22,118000,상승,1000,118000,120500,117000,457505
2019-04-19,117000,상승,500,117000,119000,115000,329620
2019-04-18,116500,하락,1000,119000,119500,116000,443925
2019-04-17,117500,동일,0,117000,119000,115500,653103
2019-04-16,117500,상승,7000,113500,118000,112500,1744272
2019-04-15,110500,상승,8000,104000,110500,103000,1228969
2019-04-12,102500,동일,0,102500,102500,101500,162349
2019-04-11,102500,동일,0,103000,103000,101500,253796
2019-04-10,102500,상승,2000,101000,103000,100500,263334
2019-04-09,100500,하락,1500,102000,102000,100000,383038
2019-04-08,102000,하락,500,103000,103500,101500,203479
2019-04-05,102500,동일,0,102500,103000,102000,132105
2019-04-04,102500,동일,0,102500,103000,101500,261063
2019-04-03,102500,하락,1000,103000,104000,102000,294101
2019-04-02,103500,상승,500,103500,104000,102000,227338
2019-04-01,103000,하락,500,103500,104000,102000,216132
2019-03-29,103500,상승,1000,103000,104000,102500,153823
2019-03-28,102500,동일,0,102000,104000,102000,162966
2019-03-27,102500,하락,1500,104500,104500,102000,208707
2019-03-26,104000,상승,2000,102500,105500,102000,257452
2019-03-25,102000,하락,2000,102000,104000,101500,171747
2019-03-22,104000,상승,1500,103000,104500,103000,239614
2019-03-21,102500,상승,500,102000,104000,101500,230173
2019-03-20,102000,하락,500,103000,103500,100000,492001
2019-03-19,102500,하락,5000,107500,108500,102500,605054
2019-03-18,107500,동일,0,108000,108500,107000,197291
2019-03-15,107500,상승,1000,106500,108500,106500,463768
2019-03-14,106500,상승,2500,105000,107500,104500,444051
2019-03-13,104000,상승,500,104000,106500,103500,240466
2019-03-12,103500,하락,2500,106500,107000,103500,380777
2019-03-11,106000,하락,1500,108000,108000,104500,276026
2019-03-08,107500,상승,3000,109000,109500,106500,792787
2019-03-07,104500,하락,1000,105500,107000,103500,330354
2019-03-06,105500,하락,1000,107000,108000,104000,298220
2019-03-05,106500,하락,2000,108000,108000,105500,472504
2019-03-04,108500,상승,5000,105500,109000,105000,853038
2019-02-28,103500,하락,1500,105000,106500,103500,733261
2019-02-27,105000,상승,1500,104500,105500,103000,551979
2019-02-26,103500,상승,5200,98400,103500,98400,1238902
2019-02-25,98300,하락,1000,99400,99800,98100,370483
2019-02-22,99300,상승,400,99500,100500,98800,294247
2019-02-21,98900,하락,800,99800,101000,98800,328444
2019-02-20,99700,하락,300,100500,101000,98500,387109
2019-02-19,100000,하락,2000,101500,102000,100000,231131
2019-02-18,102000,상승,500,102500,103000,101000,355745
2019-02-15,101500,상승,1000,101500,103500,100500,653634
2019-02-14,100500,상승,2400,97800,101000,96100,849160
2019-02-13,98100,상승,2100,96500,98900,95500,519566
2019-02-12,96000,상승,400,95600,96500,93300,599314
2019-02-11,95600,하락,2600,98500,98700,95300,906796
2019-02-08,98200,하락,800,98700,99100,98100,314884
2019-02-07,99000,하락,600,100000,100000,98700,307297
2019-02-01,99600,상승,300,99400,100500,99200,388183
2019-01-31,99300,하락,600,100500,100500,98800,546040
2019-01-30,99900,하락,2100,102000,102500,99500,565397
2019-01-29,102000,동일,0,101500,102000,101000,225138
2019-01-28,102000,하락,500,103000,104000,101500,275296
2019-01-25,102500,상승,500,101500,103000,101000,355017
2019-01-24,102000,하락,500,102500,103500,101000,282408
2019-01-23,102500,상승,500,101500,103000,100500,360462
2019-01-22,102000,상승,3200,99400,102500,99300,448490
2019-01-21,98800,하락,800,99900,100000,98700,252620
2019-01-18,99600,상승,1100,99000,99900,98900,291588
2019-01-17,98500,하락,1500,100000,102000,98500,434803
2019-01-16,100000,상승,100,100500,101000,99800,217209
2019-01-15,99900,하락,100,100000,102500,99500,381581
2019-01-14,100000,하락,2000,102000,102000,99800,243305
2019-01-11,102000,상승,1000,101000,103500,101000,180561
2019-01-10,101000,하락,1000,101000,103000,100500,291573
2019-01-09,102000,상승,2100,100500,102500,100000,357096
2019-01-08,99900,하락,3100,102500,103000,99500,450462
2019-01-07,103000,하락,500,105000,107000,102000,378153
2019-01-04,103500,상승,1000,102000,104000,101500,251728
2019-01-03,102500,상승,500,102500,105500,100500,293989
2019-01-02,102000,하락,1000,103500,105000,101500,173462
2018-12-28,103000,상승,1500,101000,104500,101000,190847
2018-12-27,101500,상승,3000,100500,102000,100000,217247
2018-12-26,98500,하락,2500,99000,100500,98000,492532
2018-12-24,101000,하락,3500,104500,104500,100000,320266
2018-12-21,104500,상승,1500,102500,104500,101000,429650
2018-12-20,103000,하락,5000,107000,107000,101000,579446
2018-12-19,108000,하락,500,108500,109000,106000,218497
2018-12-18,108500,하락,2000,108500,111000,107000,188963
2018-12-17,110500,상승,500,110000,112000,108500,173155
2018-12-14,110000,하락,1500,110500,111500,109000,196803
2018-12-13,111500,상승,1500,111500,114500,110500,494887
2018-12-12,110000,상승,3000,107000,111000,105500,393740
2018-12-11,107000,하락,4000,110000,110500,106500,461496
2018-12-10,111000,하락,3500,113000,113500,110000,331087
2018-12-07,114500,하락,1500,116500,117000,112000,354995
2018-12-06,116000,상승,1500,115000,117500,114500,396531
2018-12-05,114500,상승,1000,112000,115000,111500,222316
2018-12-04,113500,동일,0,114000,115000,113000,264857
2018-12-03,113500,상승,1000,114500,115000,112500,262030
2018-11-30,112500,상승,500,112000,113000,111500,346553
2018-11-29,112000,동일,0,113000,114000,111000,263008
2018-11-28,112000,상승,1500,111500,113000,111000,185906
2018-11-27,110500,하락,2000,113000,114000,110000,270808
2018-11-26,112500,상승,4500,107500,113000,107500,460406
2018-11-23,108000,상승,1500,107000,109500,106000,242633
2018-11-22,106500,하락,1000,107000,107500,106000,143409
2018-11-21,107500,상승,500,105000,107500,104500,206018
2018-11-20,107000,동일,0,106500,107500,105000,234825
2018-11-19,107000,상승,4500,102500,107500,102500,346393
2018-11-16,102500,하락,1500,105000,106000,102000,206149
2018-11-15,104000,상승,1000,102500,104000,101500,170612
2018-11-14,103000,상승,1500,102500,104000,101500,281601
2018-11-13,101500,상승,500,98800,101500,98700,278476
2018-11-12,101000,상승,500,101000,101500,100000,201208
2018-11-09,100500,상승,500,100000,102000,98700,292309
2018-11-08,100000,상승,4400,97900,102000,97800,644793
2018-11-07,95600,하락,1000,97100,97700,95200,269320
2018-11-06,96600,상승,1100,95700,97500,95000,195992
2018-11-05,95500,하락,2700,97000,97400,94700,339846
2018-11-02,98200,상승,5100,95200,98500,94100,409600
2018-11-01,93100,상승,1500,92000,95600,91900,372853
2018-10-31,91600,상승,1100,90900,92800,89700,336787
2018-10-30,90500,상승,2900,86000,91100,86000,521229
2018-10-29,87600,하락,3300,89900,92400,87200,599252
2018-10-26,90900,하락,3300,95000,95500,89900,653419
2018-10-25,94200,하락,5000,97300,97300,92000,1024715
2018-10-24,99200,하락,1300,101000,101500,98900,312593
2018-10-23,100500,하락,2000,102500,103500,100000,194001
2018-10-22,102500,상승,1500,101500,104000,100500,208316
2018-10-19,101000,상승,500,100000,102000,99100,268396
2018-10-18,100500,동일,0,100000,101500,99700,173176
2018-10-17,100500,동일,0,103000,103000,100000,302780
2018-10-16,100500,상승,1200,99300,101000,99300,183949
2018-10-15,99300,하락,1700,101000,102000,99200,219792
2018-10-12,101000,상승,2500,98500,102000,97600,537122
2018-10-11,98500,하락,5500,100000,102000,98500,957608
2018-10-10,104000,하락,3500,106500,108500,104000,516278
2018-10-08,107500,하락,1500,107500,110500,107500,187871
2018-10-05,109000,하락,3000,110500,111500,108500,479642
2018-10-04,112000,하락,3500,114500,115500,111000,603136
