date,close,up/down,pastday,open,high,low,volume
2019-08-14,127500,0,1500,130000,131500,127000,614128
2019-08-13,129000,0,2000,129500,131000,129000,334053
2019-08-12,131000,0,1500,131000,132500,130000,350563
2019-08-09,132500,1,2500,131500,132500,129000,521574
2019-08-08,130000,1,3000,129000,132500,128500,1303906
2019-08-07,127000,1,1000,126500,129000,126500,752576
2019-08-06,126000,0,1500,126000,127500,123000,762619
2019-08-05,127500,2,0,127500,128000,125500,748862
2019-08-02,127500,1,2000,126000,128500,124500,605798
2019-08-01,125500,0,1000,126500,130000,125000,468797
2019-07-31,126500,0,1500,126500,129000,126500,488189
2019-07-30,128000,2,0,129000,129500,126500,321935
2019-07-29,128000,0,2500,130000,131000,126500,464288
2019-07-26,130500,0,1000,130500,132500,130000,394087
2019-07-25,131500,0,1000,131500,133500,130000,613289
2019-07-24,132500,1,500,131500,133500,131500,419148
2019-07-23,132000,0,1000,133500,133500,128500,1128639
2019-07-22,133000,0,1500,134000,135500,132000,608574
2019-07-19,134500,1,500,135500,135500,132000,363374
2019-07-18,134000,1,500,133000,134500,132500,355896
2019-07-17,133500,1,500,133000,134500,132000,375651
2019-07-16,133000,0,5000,139000,139000,132000,902923
2019-07-15,138000,0,1500,139500,140000,137000,280032
2019-07-12,139500,1,500,138500,142000,138000,549266
2019-07-11,139000,1,2000,136500,140500,135000,1070266
2019-07-10,137000,0,500,139000,140000,135500,567104
2019-07-09,137500,0,1000,139500,141500,137000,435577
2019-07-08,138500,0,3000,140500,142000,138000,339244
2019-07-05,141500,1,2500,139000,142000,138500,338177
2019-07-04,139000,1,3000,135500,139500,135000,305720
2019-07-03,136000,0,1000,136000,138000,134000,582636
2019-07-02,137000,0,4000,139500,140000,136500,444895
2019-07-01,141000,1,1000,141500,142500,139500,328363
2019-06-28,140000,0,500,140000,141000,139000,274397
2019-06-27,140500,0,1000,141000,142500,139500,343337
2019-06-26,141500,2,0,141000,142000,140000,239375
2019-06-25,141500,0,1000,142500,142500,140500,294735
2019-06-24,142500,1,2000,142000,143500,141500,287939
2019-06-21,140500,2,0,140000,141000,139500,291573
2019-06-20,140500,1,500,139500,141000,139000,259704
2019-06-19,140000,0,1000,140500,141000,139000,303777
2019-06-18,141000,1,1000,140500,141500,139500,222606
2019-06-17,140000,0,500,140000,141500,139500,228663
2019-06-14,140500,0,500,140000,142500,139500,339897
2019-06-13,141000,2,0,140500,141500,137500,946951
2019-06-12,141000,0,2500,143500,143500,139500,535905
2019-06-11,143500,1,500,142500,143500,140500,362392
2019-06-10,143000,1,3000,142000,143000,140000,468996
2019-06-07,140000,0,1000,141500,142000,139500,492290
2019-06-05,141000,1,2000,139500,142000,139000,608171
2019-06-04,139000,1,500,137000,140500,137000,585901
2019-06-03,138500,1,4000,134000,138500,132500,651551
2019-05-31,134500,0,1000,134500,135000,131000,925504
2019-05-30,135500,1,1500,132500,136500,132500,495640
2019-05-29,134000,0,2500,135000,135500,131500,637263
2019-05-28,136500,1,1500,135000,136500,133000,1209912
2019-05-27,135000,1,4500,130000,135500,130000,716578
2019-05-24,130500,1,3000,127000,130500,126000,649719
2019-05-23,127500,1,500,129000,129500,126500,637184
2019-05-22,127000,2,0,127000,129000,126000,381004
2019-05-21,127000,0,2000,129000,129500,125000,733503
2019-05-20,129000,1,3500,125500,129500,125500,825485
2019-05-17,125500,0,2000,127000,128500,125000,298037
2019-05-16,127500,0,500,133000,135000,127000,1005933
2019-05-15,128000,2,0,127500,130000,125500,494972
2019-05-14,128000,0,1000,128500,129500,127000,442314
2019-05-13,129000,0,1000,128000,131000,128000,384073
2019-05-10,130000,0,1000,131500,134000,128000,544413
2019-05-09,131000,0,4500,135000,135500,131000,810123
2019-05-08,135500,0,500,134500,136000,134000,424168
2019-05-07,136000,0,1500,134500,137000,134000,545860
2019-05-03,137500,0,1000,137500,138500,136500,430867
2019-05-02,138500,2,0,138000,140500,137000,430420
2019-04-30,138500,0,500,139500,140500,138000,623895
2019-04-29,139000,1,3500,136500,139500,136500,758885
2019-04-26,135500,0,2500,138000,138500,134500,657701
2019-04-25,138000,0,500,138500,139000,136500,598551
2019-04-24,138500,1,2500,139000,140000,136000,1394398
2019-04-23,136000,1,2000,134000,137000,133000,480332
2019-04-22,134000,2,0,133000,134500,132000,231200
2019-04-19,134000,2,0,135000,135500,133000,335516
2019-04-18,134000,1,3000,133500,137000,132500,1523085
2019-04-17,131000,1,2500,128500,131000,127500,535629
2019-04-16,128500,1,3000,126500,130500,125500,753845
2019-04-15,125500,0,1000,126000,127000,125000,222997
2019-04-12,126500,0,1500,127000,128000,125500,286762
2019-04-11,128000,1,500,127500,128000,125500,551990
2019-04-10,127500,1,500,126500,128500,126500,349261
2019-04-09,127000,0,1000,125500,128000,125500,317656
2019-04-08,128000,1,2000,126500,128500,125500,455205
2019-04-05,126000,1,2500,124500,126500,124000,468793
2019-04-04,123500,0,500,123000,125000,122500,464644
2019-04-03,124000,1,5000,118500,124000,118000,651778
2019-04-02,119000,0,1500,119500,120000,117500,374423
2019-04-01,120500,1,1000,120000,121000,119000,363959
2019-03-29,119500,2,0,120000,122000,119000,432923
2019-03-28,119500,1,1000,118500,120000,118000,304740
2019-03-27,118500,2,0,118500,119500,118000,236825
2019-03-26,118500,0,1500,120000,121000,118500,463924
2019-03-25,120000,0,3500,121000,122000,119000,458292
2019-03-22,123500,0,1000,124000,125500,121500,486194
2019-03-21,124500,1,500,124000,126000,122500,321599
2019-03-20,124000,2,0,123000,124000,121000,316345
2019-03-19,124000,2,0,124000,125000,123000,303901
2019-03-18,124000,1,3000,122000,124000,121500,383652
2019-03-15,121000,1,2000,119000,122000,118000,877363
2019-03-14,119000,0,3500,124000,124000,117000,1326511
2019-03-13,122500,0,3000,126000,126000,120500,797741
2019-03-12,125500,1,4500,121500,125500,121500,621289
2019-03-11,121000,1,1000,121000,121500,119000,281873
2019-03-08,120000,0,5500,125000,125000,120000,467762
2019-03-07,125500,1,1000,126500,129000,123000,791500
2019-03-06,124500,1,3000,122500,126500,121500,599316
2019-03-05,121500,0,500,121500,122000,119500,428825
2019-03-04,122000,0,4500,125000,126000,121000,937284
2019-02-28,126500,0,2500,127500,129000,126000,946738
2019-02-27,129000,1,6500,128000,130000,126000,1233285
2019-02-26,122500,1,1500,121500,124000,121500,781497
2019-02-25,121000,2,0,120500,122500,120000,314081
2019-02-22,121000,1,1000,119500,121500,119500,353516
2019-02-21,120000,1,1000,118500,121000,118500,588691
2019-02-20,119000,0,500,119500,121500,119000,735087
2019-02-19,119500,0,1000,119500,120500,119000,470357
2019-02-18,120500,0,500,121000,122000,118500,557734
2019-02-15,121000,0,500,121000,121500,120000,446734
2019-02-14,121500,0,3000,123500,124000,119500,1072937
2019-02-13,124500,0,4000,128500,128500,124000,620173
2019-02-12,128500,1,1000,129000,129000,126500,443035
2019-02-11,127500,1,2000,126000,129000,126000,425879
2019-02-08,125500,0,500,125500,126500,124500,365392
2019-02-07,126000,0,3500,128500,129000,125500,530165
2019-02-01,129500,2,0,129500,130000,128500,392755
2019-01-31,129500,2,0,130000,131000,128500,509642
2019-01-30,129500,1,1500,128500,129500,126500,463542
2019-01-29,128000,1,1500,126500,128500,126000,445671
2019-01-28,126500,0,2000,128500,130000,125500,541428
2019-01-25,128500,0,1500,127500,130000,127500,535338
2019-01-24,130000,1,1000,128000,130000,124500,778826
2019-01-23,129000,1,1500,128000,130000,127000,422209
2019-01-22,127500,1,500,126500,128000,125000,446263
2019-01-21,127000,0,4000,132000,132000,126500,657273
2019-01-18,131000,1,1500,129500,131500,129500,556106
2019-01-17,129500,1,1000,128500,130000,127500,513711
2019-01-16,128500,1,1000,127000,129000,126000,397335
2019-01-15,127500,1,6000,121000,128000,120500,828015
2019-01-14,121500,0,1500,122500,124000,121000,297709
2019-01-11,123000,2,0,123000,124500,122000,440529
2019-01-10,123000,2,0,121500,123000,119500,648837
2019-01-09,123000,1,3500,119000,124000,119000,846392
2019-01-08,119500,0,1000,121500,123500,118500,582117
2019-01-07,120500,1,1000,121000,121500,119500,428416
2019-01-04,119500,1,3000,116000,123000,116000,1326978
2019-01-03,116500,1,2500,113000,118500,113000,608591
2019-01-02,114000,0,4500,117500,118000,113500,565493
2018-12-28,118500,2,0,118500,120000,117500,398062
2018-12-27,118500,0,1500,118000,120000,117500,458613
2018-12-26,120000,0,3000,121500,122000,118500,550552
2018-12-24,123000,1,500,122000,124000,121500,301455
2018-12-21,122500,1,1000,120500,122500,119500,643918
2018-12-20,121500,0,1500,121500,124500,120500,682779
2018-12-19,123000,1,5000,118500,123500,118500,841175
2018-12-18,118000,1,1500,117500,120000,116000,889260
2018-12-17,116500,2,0,115000,118500,112500,602835
2018-12-14,116500,0,2000,119000,120000,115000,534429
2018-12-13,118500,2,0,116500,120000,116500,1093587
2018-12-12,118500,1,7000,111500,121500,111000,1558536
2018-12-11,111500,1,1000,109500,112500,108500,372363
2018-12-10,110500,0,500,108500,111000,108500,367098
2018-12-07,111000,1,500,110000,112000,109500,566780
2018-12-06,110500,1,3000,107500,112500,106000,896541
2018-12-05,107500,2,0,106000,108500,106000,519108
2018-12-04,107500,0,1000,108500,108500,105500,612079
2018-12-03,108500,1,1500,108500,109000,106500,723565
2018-11-30,107000,1,7000,103000,108000,102500,3017114
2018-11-29,100000,0,1000,102000,103000,99100,811011
2018-11-28,101000,2,0,100500,101500,99800,602728
2018-11-27,101000,1,5900,95900,101500,95800,1436195
2018-11-26,95100,1,1400,93600,95800,93500,663188
2018-11-23,93700,1,900,92800,94000,92600,558490
2018-11-22,92800,0,5000,98000,98000,92500,1527106
2018-11-21,97800,1,300,96500,97900,95800,883111
2018-11-20,97500,0,4000,101000,101000,97100,1295271
2018-11-19,101500,0,1500,103000,103500,101000,555495
2018-11-16,103000,2,0,104000,104500,102000,361507
2018-11-15,103000,1,1500,101000,103500,100500,449187
2018-11-14,101500,0,1000,103500,104500,100500,637102
2018-11-13,102500,1,500,99900,102500,99600,397209
2018-11-12,102000,0,3000,105000,105500,100500,792697
2018-11-09,105000,0,500,106000,110000,104500,668003
2018-11-08,105500,0,2000,109000,109000,105500,588487
2018-11-07,107500,2,0,106500,108000,105500,619311
2018-11-06,107500,1,3500,105000,108500,104500,775343
2018-11-05,104000,0,6000,107000,107500,103500,921610
2018-11-02,110000,1,1500,107000,110500,106500,586857
2018-11-01,108500,1,2000,106500,109000,104500,487868
2018-10-31,106500,0,1000,106500,107000,103500,752213
2018-10-30,107500,1,1500,106500,109500,106000,429587
2018-10-29,106000,0,2000,106000,108500,104000,876545
2018-10-26,108000,0,2000,110000,113000,107500,867074
2018-10-25,110000,0,7000,116000,116000,102500,1633392
2018-10-24,117000,1,500,117500,118500,116000,776694
2018-10-23,116500,0,1500,117000,118000,114000,575347
2018-10-22,118000,1,2500,115000,118000,114500,378176
2018-10-19,115500,0,500,114500,117500,114000,493067
2018-10-18,116000,0,2500,118000,118500,114000,708181
2018-10-17,118500,1,2000,117500,119500,116500,385112
2018-10-16,116500,1,3000,114000,117500,113500,503295
2018-10-15,113500,0,2000,116500,117000,111500,697689
2018-10-12,115500,0,500,115500,118000,114500,672541
2018-10-11,116000,0,4000,118500,120500,116000,701523
2018-10-10,120000,0,2000,122500,123000,119500,536984
2018-10-08,122000,0,2500,123500,124000,121500,386710
2018-10-05,124500,2,0,126000,126000,123000,284015
2018-10-04,124500,0,4000,128500,129000,122500,671140
2018-10-02,128500,0,500,128500,129500,128000,215297
2018-10-01,129000,0,500,130000,130000,128500,233662
2018-09-28,129500,0,1000,130000,130500,128000,295867
2018-09-27,130500,1,1500,130000,130500,128500,465760
2018-09-21,129000,2,0,131000,131000,127500,765535
2018-09-20,129000,1,2500,126500,130000,126000,378436
2018-09-19,126500,0,1500,128500,129000,125500,420484
2018-09-18,128000,0,500,128500,130000,128000,368661
2018-09-17,128500,0,1000,129000,129500,128000,305158
2018-09-14,129500,1,1000,129500,131000,129000,259936
2018-09-13,128500,0,1000,130500,130500,128000,411245
2018-09-12,129500,1,1500,128500,131000,128000,340635
2018-09-11,128000,0,3000,130000,130500,128000,514468
2018-09-10,131000,0,2000,131500,133500,130000,320236
2018-09-07,133000,0,1000,136000,137000,131500,793026
2018-09-06,134000,1,5000,130000,136000,130000,935048
2018-09-05,129000,1,2500,126500,131000,126500,871735
2018-09-04,126500,1,1500,125500,127000,124500,297393
2018-09-03,125000,2,0,124500,126000,123500,264041
2018-08-31,125000,1,1500,124000,126000,123000,529278
2018-08-30,123500,0,500,124000,125000,123000,385998
2018-08-29,124000,0,1000,125000,125000,123500,309579
2018-08-28,125000,1,1000,125000,127000,124000,402853
2018-08-27,124000,0,500,125000,125500,123500,226756
2018-08-24,124500,2,0,123500,124500,123000,232363
2018-08-23,124500,0,1500,125500,126000,123000,229027
2018-08-22,126000,1,500,125500,127000,124500,329800
2018-08-21,125500,0,2000,127000,127500,124000,339831
2018-08-20,127500,1,1000,127500,128000,126000,310969
2018-08-17,126500,2,0,125500,127000,125000,207735
2018-08-16,126500,1,3500,122000,127000,122000,561446
2018-08-14,123000,0,500,124500,125000,122500,291859
2018-08-13,123500,0,2500,125000,126000,123000,319273
2018-08-10,126000,2,0,126000,127000,124500,194355
2018-08-09,126000,0,1500,126500,127500,125500,532068
2018-08-08,127500,1,2500,125500,129500,125500,816582
2018-08-07,125000,1,500,124000,126000,123500,285278
2018-08-06,124500,1,500,124500,126000,124000,317150
2018-08-03,124000,0,1500,124000,125500,124000,468331
2018-08-02,125500,0,3000,128000,128500,124000,425332
2018-08-01,128500,0,1000,130000,130500,128000,244440
2018-07-31,129500,0,1000,131000,131000,128500,306556
2018-07-30,130500,1,1000,129000,131000,128500,179748
2018-07-27,129500,0,500,129500,131500,129000,365369
2018-07-26,130000,0,500,131000,131500,128000,484321
2018-07-25,130500,1,1000,130000,130500,129000,305338
2018-07-24,129500,2,0,129500,130000,126500,479217
2018-07-23,129500,1,2500,127500,131000,127000,660426
2018-07-20,127000,1,3000,124500,128500,122500,463776
2018-07-19,124000,2,0,125000,125500,123500,359064
2018-07-18,124000,0,2500,127000,128500,124000,325090
2018-07-17,126500,1,500,126000,129000,125000,436989
